ensemble,n,d,degree,seed,basis_size_m,generator_type,cone,solver,status,value,solve_time,wall_time,error
hard_sos,3,2,4,1,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.17728612697417714,0.001845324,0.03304127207957208,
hard_sos,3,2,4,1,10,hard_sos_random_psd_gram,sos,SCS,optimal,0.17730233495129494,0.017879076,0.05054297891911119,
hard_sos,3,2,4,2,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001097144,0.1483332469360903,
hard_sos,3,2,4,2,10,hard_sos_random_psd_gram,dsos,SCS,infeasible,-inf,0.0006979229999999999,0.1444693119265139,
hard_sos,3,2,4,2,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.003756364,0.26596844696905464,
hard_sos,3,2,4,2,10,hard_sos_random_psd_gram,sdsos,SCS,optimal_inaccurate,-112009.7994320523,0.531857119,0.7731305650668219,
hard_sos,3,2,4,2,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.19192774288537487,0.002085061,0.04340776603203267,
hard_sos,3,2,4,2,10,hard_sos_random_psd_gram,sos,SCS,optimal,0.19193235851014648,0.009075165999999999,0.08150062803179026,
hard_sos,3,2,4,3,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.000989099,0.13717784301843494,
hard_sos,3,2,4,3,10,hard_sos_random_psd_gram,dsos,SCS,infeasible,-inf,0.00063561,0.1327603420941159,
hard_sos,3,2,4,3,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.003230205,0.18328163702972233,
hard_sos,3,2,4,3,10,hard_sos_random_psd_gram,sdsos,SCS,optimal_inaccurate,-38271.64798502542,0.458079124,0.6660807479638606,
hard_sos,3,2,4,3,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.2381900737877591,0.002683023,0.0378172310302034,
hard_sos,3,2,4,3,10,hard_sos_random_psd_gram,sos,SCS,optimal,0.23819531360252766,0.003187938,0.0422104150056839,
hard_sos,3,2,4,4,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001042,0.1324243179988116,
hard_sos,3,2,4,4,10,hard_sos_random_psd_gram,dsos,SCS,infeasible,-inf,0.000675342,0.1814068709500134,
hard_sos,3,2,4,4,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.00378105,0.23240248207002878,
hard_sos,3,2,4,4,10,hard_sos_random_psd_gram,sdsos,SCS,optimal_inaccurate,-23222.331125494493,0.503460417,0.7426775899948552,
hard_sos,3,2,4,4,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.06693108504161498,0.001484992,0.034549750038422644,
hard_sos,3,2,4,4,10,hard_sos_random_psd_gram,sos,SCS,optimal,0.06693275103441408,0.003499849,0.037421643966808915,
hard_sos,4,2,4,0,15,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.002280557,0.4320956129813567,
hard_sos,4,2,4,0,15,hard_sos_random_psd_gram,dsos,SCS,infeasible,-inf,0.0015224169999999999,0.3650773538975045,
hard_sos,4,2,4,0,15,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.007591003,0.47140708193182945,
hard_sos,4,2,4,0,15,hard_sos_random_psd_gram,sdsos,SCS,optimal_inaccurate,-156062.7552922732,1.178557943,1.6729111470049247,
hard_sos,4,2,4,0,15,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.22377895228826603,0.006457232,0.07671590999234468,
hard_sos,4,2,4,0,15,hard_sos_random_psd_gram,sos,SCS,optimal,0.22378025043924465,0.037451706,0.12414537102449685,
hard_sos,4,2,4,1,15,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.002394748,0.32217618206050247,
hard_sos,4,2,4,1,15,hard_sos_random_psd_gram,dsos,SCS,infeasible,-inf,0.001494173,0.31664689898025244,
hard_sos,4,2,4,1,15,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.006878814,0.4472490029875189,
hard_sos,4,2,4,1,15,hard_sos_random_psd_gram,sdsos,SCS,optimal_inaccurate,-170035.9326912342,1.029875069,1.469296548049897,
hard_sos,4,2,4,1,15,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.2256467788225595,0.007659054,0.06898536102380604,
