ensemble,n,d,degree,seed,basis_size_m,generator_type,cone,solver,status,value,solve_time,wall_time,error
hard_sos,2,3,6,5,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00192089,0.25279513897839934,
hard_sos,2,3,6,5,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.007008874,0.3714862969936803,
hard_sos,2,3,6,5,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.18507480594764875,0.002456817,0.05081443302333355,
hard_sos,2,3,6,6,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00164344,0.2325713960453868,
hard_sos,2,3,6,6,10,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal_inaccurate,-290881.088184785,0.006899478,0.3541782289976254,
hard_sos,2,3,6,6,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.16311526639638813,0.002678691,0.050023384974338114,
hard_sos,2,3,6,7,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.002029636,0.25582852796651423,
hard_sos,2,3,6,7,10,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-6474.6665773668665,0.008130174,0.37568066001404077,
hard_sos,2,3,6,7,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.41496124455536243,0.002303365,0.048431430011987686,
hard_sos,2,3,6,8,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001779772,0.24821180093567818,
hard_sos,2,3,6,8,10,hard_sos_random_psd_gram,sdsos,CLARABEL,exception,,,0.3317998490529135,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")"
hard_sos,2,3,6,8,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,1.2983432085837912,0.002648749,0.05003208597190678,
hard_sos,2,3,6,9,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.0018528,0.23052905790973455,
hard_sos,2,3,6,9,10,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal_inaccurate,-271002.70533447753,0.007469337,0.32403007498942316,
hard_sos,2,3,6,9,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.19725515012254075,0.002395506,0.05110702593810856,
hard_sos,3,2,4,0,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001623813,0.23375031107570976,
hard_sos,3,2,4,0,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.004964422,0.3215661870781332,
hard_sos,3,2,4,0,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.0535615856661635,0.002453469,0.05360740493051708,
hard_sos,3,2,4,1,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00164401,0.26928255904931575,
hard_sos,3,2,4,1,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.005419456,0.3275731550529599,
hard_sos,3,2,4,1,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.17728612697417714,0.002807122,0.05388481100089848,
hard_sos,3,2,4,2,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001673147,0.27567789691966027,
hard_sos,3,2,4,2,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.005717055,0.33550141798332334,
hard_sos,3,2,4,2,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.19192774288537487,0.003079328,0.059751547989435494,
hard_sos,3,2,4,3,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001610357,0.26756784808821976,
hard_sos,3,2,4,3,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.005528954,0.331989066908136,
hard_sos,3,2,4,3,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.2381900737877591,0.002704041,0.057280706940218806,
hard_sos,3,2,4,4,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001694067,0.26634945801924914,
hard_sos,3,2,4,4,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.005050719,0.31633876904379576,
