ensemble,n,d,degree,seed,basis_size_m,generator_type,cone,solver,status,value,solve_time,wall_time,error,is_success,is_reliable_success,finite_value,sos_best_value,gap_to_sos_best,rel_gap_to_sos_best
hard_sos,2,3,6,1,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00179745,0.24962106300517917,,False,False,,0.3162570678272185,,
hard_sos,2,3,6,1,10,hard_sos_random_psd_gram,sdsos,CLARABEL,exception,,,0.39165499806404114,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",False,False,,0.3162570678272185,,
hard_sos,2,3,6,1,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.3162570678272185,0.002312278,0.05441183701623231,,True,True,0.3162570678272185,0.3162570678272185,0.0,0.0
hard_sos,2,3,6,2,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001979129,0.25088847998995334,,False,False,,0.20285759705218245,,
hard_sos,2,3,6,2,10,hard_sos_random_psd_gram,sdsos,CLARABEL,exception,,,0.3787059140158817,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",False,False,,0.20285759705218245,,
hard_sos,2,3,6,2,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.20285759705218245,0.003116551,0.04999205295462161,,True,True,0.20285759705218245,0.20285759705218245,0.0,0.0
hard_sos,2,3,6,3,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001843758,0.2401394279440865,,False,False,,0.09391231331712989,,
hard_sos,2,3,6,3,10,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-94246.40852763278,0.007140543,0.3613608640152961,,True,True,-94246.40852763278,0.09391231331712989,94246.5024399461,94246.5024399461
hard_sos,2,3,6,3,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.09391231331712989,0.002797649,0.054161955951713026,,True,True,0.09391231331712989,0.09391231331712989,0.0,0.0
hard_sos,2,3,6,4,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001890244,0.24189876101445407,,False,False,,0.020012561071006185,,
hard_sos,2,3,6,4,10,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-3566.272447638653,0.006616956,0.38945663906633854,,True,True,-3566.272447638653,0.020012561071006185,3566.292460199724,3566.292460199724
hard_sos,2,3,6,4,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.020012561071006185,0.002799018,0.0609615120338276,,True,True,0.020012561071006185,0.020012561071006185,0.0,0.0
hard_sos,2,3,6,5,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00192089,0.25279513897839934,,False,False,,0.18507480594764875,,
hard_sos,2,3,6,5,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.007008874,0.3714862969936803,,False,False,,0.18507480594764875,,
hard_sos,2,3,6,5,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.18507480594764875,0.002456817,0.05081443302333355,,True,True,0.18507480594764875,0.18507480594764875,0.0,0.0
hard_sos,2,3,6,6,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00164344,0.2325713960453868,,False,False,,0.16311526639638813,,
hard_sos,2,3,6,6,10,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal_inaccurate,-290881.088184785,0.006899478,0.3541782289976254,,True,False,-290881.088184785,0.16311526639638813,290881.2513000514,290881.2513000514
hard_sos,2,3,6,6,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.16311526639638813,0.002678691,0.050023384974338114,,True,True,0.16311526639638813,0.16311526639638813,0.0,0.0
hard_sos,2,3,6,7,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.002029636,0.25582852796651423,,False,False,,0.41496124455536243,,
hard_sos,2,3,6,7,10,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal,-6474.6665773668665,0.008130174,0.37568066001404077,,True,True,-6474.6665773668665,0.41496124455536243,6475.081538611422,6475.081538611422
hard_sos,2,3,6,7,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.41496124455536243,0.002303365,0.048431430011987686,,True,True,0.41496124455536243,0.41496124455536243,0.0,0.0
hard_sos,2,3,6,8,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001779772,0.24821180093567818,,False,False,,1.2983432085837912,,
hard_sos,2,3,6,8,10,hard_sos_random_psd_gram,sdsos,CLARABEL,exception,,,0.3317998490529135,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",False,False,,1.2983432085837912,,
hard_sos,2,3,6,8,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,1.2983432085837912,0.002648749,0.05003208597190678,,True,True,1.2983432085837912,1.2983432085837912,0.0,0.0
hard_sos,2,3,6,9,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.0018528,0.23052905790973455,,False,False,,0.19725515012254075,,
hard_sos,2,3,6,9,10,hard_sos_random_psd_gram,sdsos,CLARABEL,optimal_inaccurate,-271002.70533447753,0.007469337,0.32403007498942316,,True,False,-271002.70533447753,0.19725515012254075,271002.90258962766,271002.90258962766
hard_sos,2,3,6,9,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.19725515012254075,0.002395506,0.05110702593810856,,True,True,0.19725515012254075,0.19725515012254075,0.0,0.0
hard_sos,3,2,4,0,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001623813,0.23375031107570976,,False,False,,0.0535615856661635,,
hard_sos,3,2,4,0,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.004964422,0.3215661870781332,,False,False,,0.0535615856661635,,
hard_sos,3,2,4,0,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.0535615856661635,0.002453469,0.05360740493051708,,True,True,0.0535615856661635,0.0535615856661635,0.0,0.0
hard_sos,3,2,4,1,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.00164401,0.26928255904931575,,False,False,,0.17728612697417714,,
hard_sos,3,2,4,1,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.005419456,0.3275731550529599,,False,False,,0.17728612697417714,,
hard_sos,3,2,4,1,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.17728612697417714,0.002807122,0.05388481100089848,,True,True,0.17728612697417714,0.17728612697417714,0.0,0.0
hard_sos,3,2,4,2,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001673147,0.27567789691966027,,False,False,,0.19192774288537487,,
hard_sos,3,2,4,2,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.005717055,0.33550141798332334,,False,False,,0.19192774288537487,,
hard_sos,3,2,4,2,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.19192774288537487,0.003079328,0.059751547989435494,,True,True,0.19192774288537487,0.19192774288537487,0.0,0.0
hard_sos,3,2,4,3,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001610357,0.26756784808821976,,False,False,,0.2381900737877591,,
hard_sos,3,2,4,3,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.005528954,0.331989066908136,,False,False,,0.2381900737877591,,
hard_sos,3,2,4,3,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.2381900737877591,0.002704041,0.057280706940218806,,True,True,0.2381900737877591,0.2381900737877591,0.0,0.0
hard_sos,3,2,4,4,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001694067,0.26634945801924914,,False,False,,0.06693108504161498,,
hard_sos,3,2,4,4,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.005050719,0.31633876904379576,,False,False,,0.06693108504161498,,
hard_sos,3,2,4,4,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.06693108504161498,0.002539063,0.05254762794356793,,True,True,0.06693108504161498,0.06693108504161498,0.0,0.0
hard_sos,3,2,4,5,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001606138,0.2711396749364212,,False,False,,0.2378493338328289,,
hard_sos,3,2,4,5,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.004594948,0.3182863569818437,,False,False,,0.2378493338328289,,
hard_sos,3,2,4,5,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.2378493338328289,0.002371418,0.05554839491378516,,True,True,0.2378493338328289,0.2378493338328289,0.0,0.0
hard_sos,3,2,4,6,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001519949,0.25924350100103766,,False,False,,0.1050436848725114,,
hard_sos,3,2,4,6,10,hard_sos_random_psd_gram,sdsos,CLARABEL,infeasible,-inf,0.00443799,0.3257170800352469,,False,False,,0.1050436848725114,,
hard_sos,3,2,4,6,10,hard_sos_random_psd_gram,sos,CLARABEL,optimal,0.1050436848725114,0.002439023,0.05268702004104853,,True,True,0.1050436848725114,0.1050436848725114,0.0,0.0
hard_sos,3,2,4,7,10,hard_sos_random_psd_gram,dsos,CLARABEL,infeasible,-inf,0.001721192,0.29627804504707456,,False,False,,0.4114843197129773,,
