n,d,basis_size_m,cone,solver,num_runs,success_rate,mean_value,std_value,mean_rel_gap_to_sos_best,std_rel_gap_to_sos_best,mean_wall_time,median_wall_time
2,2,6,sdsos,CLARABEL,1,1.0,-694.2488907512202,,694.3824589872446,,0.06485786405391991,0.06485786405391991
2,2,6,sdsos,SCS,2,1.0,-28120.998980259257,39516.96612538013,28121.074361198203,39516.88383611545,0.32352827256545424,0.32352827256545424
2,2,6,sos,CLARABEL,2,1.0,0.07538089830493239,0.0822893221613496,4.0643092417622095e-08,5.7478012513784276e-08,0.023346072994172573,0.023346072994172573
2,2,6,sos,SCS,2,1.0,0.07538050886709866,0.08228865645705839,4.3008092615037796e-07,6.08226278679846e-07,0.02642458549235016,0.02642458549235016
3,2,10,sdsos,SCS,2,1.0,-64619.798437793375,37641.13852132473,64619.913869753684,37641.22601924765,0.9226108035072684,0.9226108035072684
3,2,10,sos,CLARABEL,2,1.0,0.11542385632017033,0.08748646215809155,8.103988558896824e-06,1.1460770529308282e-05,0.04446260642725974,0.04446260642725974
3,2,10,sos,SCS,2,1.0,0.11543173894237604,0.0874982359879198,2.2136635318206754e-07,3.130592989231525e-07,0.06837107345927507,0.06837107345927507
