ensemble,n,d,basis_size_m,cone,solver,num_attempts,success_rate,reliable_success_rate,num_finite,mean_value,std_value,mean_rel_gap_to_sos_best,std_rel_gap_to_sos_best,mean_wall_time,median_wall_time
easy_dsos,2,2,6,dsos,CLARABEL,5,1.0,1.0,5,1.5849793228133229,0.10759555970669055,0.015251200330339113,0.008203594854556658,0.04837238462641835,0.04425128304865211
easy_dsos,2,2,6,dsos,SCS,5,1.0,1.0,5,1.5849799248819831,0.10759565860085343,0.015250824436087884,0.008204543555881152,0.04414029701147228,0.0439667790196836
easy_dsos,2,2,6,sdsos,CLARABEL,5,1.0,1.0,5,1.609886605662258,0.11585491721775026,1.172258716990869e-06,1.0329960793277987e-06,0.06521556999068708,0.06068269000388682
easy_dsos,2,2,6,sdsos,SCS,5,1.0,1.0,5,1.6098922392702721,0.11584908147616345,-2.540444824588817e-06,7.102698774360291e-06,0.07259574942290783,0.062437404063530266
easy_dsos,2,2,6,sos,CLARABEL,5,1.0,1.0,5,1.609888461128314,0.11585598171252107,4.911676080036451e-08,4.295822692182889e-08,0.013405243842862546,0.013316874043084681
easy_dsos,2,2,6,sos,SCS,5,1.0,1.0,5,1.6098885411460362,0.11585600640868363,0.0,0.0,0.017658426985144617,0.013755448046140373
easy_dsos,3,2,10,dsos,CLARABEL,5,1.0,1.0,5,1.6191017767135374,0.16319287521553696,0.015040443297401479,0.0072798843094641005,0.12581258981954307,0.12030912598129362
easy_dsos,3,2,10,dsos,SCS,5,1.0,1.0,5,1.6191041690151216,0.1631953915908123,0.015039109595525835,0.007280209293995265,0.14001193160656838,0.12021572689991444
easy_dsos,3,2,10,sdsos,CLARABEL,5,1.0,1.0,5,1.6434276138690862,0.16017817256961198,5.27559055869375e-07,1.947405835094529e-07,0.19900215400848537,0.1877020449610427
easy_dsos,3,2,10,sdsos,SCS,5,1.0,1.0,5,1.6434300527018013,0.16018356969788872,-7.014579564963546e-07,7.454841638910323e-06,0.31094129940029236,0.27113053295761347
easy_dsos,3,2,10,sos,CLARABEL,5,1.0,1.0,5,1.6434281776723811,0.1601782835581531,1.8663959039892155e-07,8.428846845675259e-08,0.03251814681570977,0.02876257710158825
easy_dsos,3,2,10,sos,SCS,5,1.0,1.0,5,1.643428483390597,0.16017829956214305,0.0,0.0,0.03552910340949893,0.028742359019815922
easy_dsos,4,2,15,dsos,CLARABEL,5,1.0,1.0,5,1.5905019878556037,0.3648961366254477,0.030673086396246774,0.013470868849759846,0.3045911643886939,0.301978069008328
easy_dsos,4,2,15,dsos,SCS,5,1.0,1.0,5,1.590502256849041,0.36489622525212234,0.0306729386140087,0.01347056330452977,0.3358973297988996,0.32470100303180516
easy_dsos,4,2,15,sdsos,CLARABEL,5,1.0,1.0,5,1.6375629962832137,0.3582244348317673,4.611111250684599e-06,4.033860359579208e-06,0.4433903114171699,0.4299971950240433
easy_dsos,4,2,15,sdsos,SCS,5,1.0,0.8,5,1.6375878182824315,0.35822611972232976,-1.0921871030629205e-05,9.008991747015598e-06,0.8641326595796273,0.7248423090204597
easy_dsos,4,2,15,sos,CLARABEL,5,1.0,1.0,5,1.637569920938483,0.3582231066377689,9.976589534330186e-08,9.439601934764052e-08,0.06097101159393788,0.06042784499004483
easy_dsos,4,2,15,sos,SCS,5,1.0,1.0,5,1.6375700639071724,0.3582230341494285,0.0,0.0,0.062188363447785375,0.058248612098395824
