ensemble,n,d,degree,seed,basis_size_m,generator_type,cone,solver,status,value,solve_time,wall_time,error,is_success,is_reliable_success,finite_value,sos_best_value,gap_to_sos_best,rel_gap_to_sos_best
easy_dsos,2,2,4,0,6,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.501158918050183,0.000283357,0.04704886500257999,,True,True,1.501158918050183,1.529509546020386,0.028350627970203046,0.018535763993084077
easy_dsos,2,2,4,0,6,easy_dsos_dd_gram,dsos,SCS,optimal,1.5011564212073978,0.000568966,0.043896791990846395,,True,True,1.5011564212073978,1.529509546020386,0.02835312481298824,0.018537396439767193
easy_dsos,2,2,4,0,6,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.5295083570876613,0.000624764,0.06068269000388682,,True,True,1.5295083570876613,1.529509546020386,1.1889327247160963e-06,7.773293915095642e-07
easy_dsos,2,2,4,0,6,easy_dsos_dd_gram,sdsos,SCS,optimal,1.5295084673331458,0.023983519999999998,0.08290281298104674,,True,True,1.5295084673331458,1.529509546020386,1.078687240196885e-06,7.052504137705511e-07
easy_dsos,2,2,4,0,6,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.5295095382418205,0.000463024,0.013316874043084681,,True,True,1.5295095382418205,1.529509546020386,7.778565569438456e-09,5.08566003375227e-09
easy_dsos,2,2,4,0,6,easy_dsos_dd_gram,sos,SCS,optimal,1.529509546020386,0.001677712,0.014831586042419076,,True,True,1.529509546020386,1.529509546020386,0.0,0.0
easy_dsos,2,2,4,1,6,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.593140121737525,0.000300156,0.06343831506092101,,True,True,1.593140121737525,1.6000270348016663,0.006886913064141353,0.004304247937282529
easy_dsos,2,2,4,1,6,easy_dsos_dd_gram,dsos,SCS,optimal,1.5931423923197627,0.0007238149999999999,0.0439667790196836,,True,True,1.5931423923197627,1.6000270348016663,0.006884642481903569,0.004302828847361923
easy_dsos,2,2,4,1,6,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.600026478971346,0.00057973,0.06022804894018918,,True,True,1.600026478971346,1.6000270348016663,5.558303202146675e-07,3.473880804042578e-07
easy_dsos,2,2,4,1,6,easy_dsos_dd_gram,sdsos,SCS,optimal,1.600024894787508,0.0008345129999999999,0.06030086800456047,,True,True,1.600024894787508,1.6000270348016663,2.1400141583249876e-06,1.3374862497809333e-06
easy_dsos,2,2,4,1,6,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.6000270057573753,0.000310205,0.013412746018730104,,True,True,1.6000270057573753,1.6000270348016663,2.9044290972279896e-08,1.815237514151136e-08
easy_dsos,2,2,4,1,6,easy_dsos_dd_gram,sos,SCS,optimal,1.6000270348016663,0.0005040649999999999,0.013755448046140373,,True,True,1.6000270348016663,1.6000270348016663,0.0,0.0
easy_dsos,2,2,4,2,6,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.5674703513908619,0.000295669,0.04370257700793445,,True,True,1.5674703513908619,1.583297736873501,0.015827385482639178,0.00999646820306402
easy_dsos,2,2,4,2,6,easy_dsos_dd_gram,dsos,SCS,optimal,1.5674731978860783,0.000632237,0.04392972798086703,,True,True,1.5674731978860783,1.583297736873501,0.015824538987422754,0.009994670376192845
easy_dsos,2,2,4,2,6,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.5832974309986163,0.00060084,0.08332346205133945,,True,True,1.5832974309986163,1.583297736873501,3.0587488475397606e-07,1.931884809978821e-07
easy_dsos,2,2,4,2,6,easy_dsos_dd_gram,sdsos,SCS,optimal,1.583304821406545,0.001140128,0.061400578008033335,,True,True,1.583304821406545,1.583297736873501,-7.0845330439883725e-06,-4.4745425190703705e-06
easy_dsos,2,2,4,2,6,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.5832976785929234,0.000313295,0.013252900098450482,,True,True,1.5832976785929234,1.583297736873501,5.828057769718953e-08,3.680961346681057e-08
easy_dsos,2,2,4,2,6,easy_dsos_dd_gram,sos,SCS,optimal,1.583297736873501,0.00044249899999999995,0.013263319968245924,,True,True,1.583297736873501,1.583297736873501,0.0,0.0
easy_dsos,2,2,4,3,6,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.7630322445964153,0.000281547,0.04425128304865211,,True,True,1.7630322445964153,1.8090176916756247,0.045985447079209374,0.025420120151845943
easy_dsos,2,2,4,3,6,easy_dsos_dd_gram,dsos,SCS,optimal,1.7630318554932314,0.000973719,0.04448221903294325,,True,True,1.7630318554932314,1.8090176916756247,0.04598583618239327,0.02542033524271304
easy_dsos,2,2,4,3,6,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.80901327984245,0.000609726,0.060500422958284616,,True,True,1.80901327984245,1.8090176916756247,4.411833174566837e-06,2.438800457766846e-06
easy_dsos,2,2,4,3,6,easy_dsos_dd_gram,sdsos,SCS,optimal,1.8090108509415939,0.002691783,0.062437404063530266,,True,True,1.8090108509415939,1.8090176916756247,6.840734030788553e-06,3.7814633114241354e-06
easy_dsos,2,2,4,3,6,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.809017553075533,0.000312228,0.014012485044077039,,True,True,1.809017553075533,1.8090176916756247,1.386000916259178e-07,7.661621678090819e-08
easy_dsos,2,2,4,3,6,easy_dsos_dd_gram,sos,SCS,optimal,1.8090176916756247,0.000449364,0.03325385693460703,,True,True,1.8090176916756247,1.8090176916756247,0.0,0.0
easy_dsos,2,2,4,4,6,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.5000949782916293,0.000281686,0.0434208830120042,,True,True,1.5000949782916293,1.5275906963590025,0.027495718067373165,0.01799940136641899
easy_dsos,2,2,4,4,6,easy_dsos_dd_gram,dsos,SCS,optimal,1.500095757503445,0.0006365920000000001,0.04442596703302115,,True,True,1.500095757503445,1.5275906963590025,0.027494938855557427,0.017998891274404422
easy_dsos,2,2,4,4,6,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.5275874814112154,0.000617983,0.061343225999735296,,True,True,1.5275874814112154,1.5275906963590025,3.2149477871001864e-06,2.1045871742757948e-06
easy_dsos,2,2,4,4,6,easy_dsos_dd_gram,sdsos,SCS,optimal,1.5276121618825687,0.036237609,0.09593708405736834,,True,True,1.5276121618825687,1.5275906963590025,-2.1465523566188693e-05,-1.4051881578849334e-05
easy_dsos,2,2,4,4,6,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.5275905299739176,0.000330657,0.013031214009970427,,True,True,1.5275905299739176,1.5275906963590025,1.663850848210302e-07,1.0891993857884015e-07
easy_dsos,2,2,4,4,6,easy_dsos_dd_gram,sos,SCS,optimal,1.5275906963590025,0.000442292,0.013187923934310675,,True,True,1.5275906963590025,1.5275906963590025,0.0,0.0
easy_dsos,3,2,4,0,10,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.8663647400676804,0.000706803,0.1378574549453333,,True,True,1.8663647400676804,1.8879847251819097,0.021619985114229356,0.011451355948945108
easy_dsos,3,2,4,0,10,easy_dsos_dd_gram,dsos,SCS,optimal,1.8663648596244893,0.0019174169999999998,0.1170825770823285,,True,True,1.8663648596244893,1.8879847251819097,0.02161986555742046,0.011451292623851793
easy_dsos,3,2,4,0,10,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.8879836118567468,0.001735545,0.18765828607138246,,True,True,1.8879836118567468,1.8879847251819097,1.1133251629491525e-06,5.896897088729795e-07
easy_dsos,3,2,4,0,10,easy_dsos_dd_gram,sdsos,SCS,optimal,1.8879881330731505,0.007937890999999999,0.17200251505710185,,True,True,1.8879881330731505,1.8879847251819097,-3.407891240758687e-06,-1.8050417438786919e-06
easy_dsos,3,2,4,0,10,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.887984396875302,0.000920569,0.027340313070453703,,True,True,1.887984396875302,1.8879847251819097,3.2830660767757536e-07,1.7389261856763307e-07
easy_dsos,3,2,4,0,10,easy_dsos_dd_gram,sos,SCS,optimal,1.8879847251819097,0.0009648910000000001,0.02778131898958236,,True,True,1.8879847251819097,1.8879847251819097,0.0,0.0
easy_dsos,3,2,4,1,10,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.4881079182856893,0.000707411,0.1367274090880528,,True,True,1.4881079182856893,1.5080621466200463,0.019954228334357005,0.013231701610626288
easy_dsos,3,2,4,1,10,easy_dsos_dd_gram,dsos,SCS,optimal,1.488103965136641,0.0022762530000000002,0.11814207897987217,,True,True,1.488103965136641,1.5080621466200463,0.019958181483405335,0.013234322954220907
easy_dsos,3,2,4,1,10,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.5080610369307037,0.001865205,0.1877020449610427,,True,True,1.5080610369307037,1.5080621466200463,1.1096893426376653e-06,7.358379395204392e-07
easy_dsos,3,2,4,1,10,easy_dsos_dd_gram,sdsos,SCS,optimal,1.5080443458971764,0.009658946,0.17610979895107448,,True,True,1.5080443458971764,1.5080621466200463,1.780072286994283e-05,1.1803706438649635e-05
easy_dsos,3,2,4,1,10,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.5080620267049392,0.000922697,0.029001553892157972,,True,True,1.5080620267049392,1.5080621466200463,1.1991510717734855e-07,7.951602488406e-08
easy_dsos,3,2,4,1,10,easy_dsos_dd_gram,sos,SCS,optimal,1.5080621466200463,0.0009306140000000001,0.028742359019815922,,True,True,1.5080621466200463,1.5080621466200463,0.0,0.0
easy_dsos,3,2,4,2,10,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.6904040434275063,0.000693185,0.11598178907297552,,True,True,1.6904040434275063,1.715088791725841,0.02468474829833478,0.014392694079409893
easy_dsos,3,2,4,2,10,easy_dsos_dd_gram,dsos,SCS,optimal,1.6904191438408651,0.001899079,0.12021572689991444,,True,True,1.6904191438408651,1.715088791725841,0.024669647884975943,0.014383889629499377
easy_dsos,3,2,4,2,10,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.71508775957585,0.001863395,0.189414118998684,,True,True,1.71508775957585,1.715088791725841,1.0321499910315168e-06,6.018055718228419e-07
easy_dsos,3,2,4,2,10,easy_dsos_dd_gram,sdsos,SCS,optimal,1.715099882126628,0.35223602,0.5199990359833464,,True,True,1.715099882126628,1.715088791725841,-1.1090400786839538e-05,-6.466371210833702e-06
