ensemble,n,d,degree,seed,basis_size_m,generator_type,cone,solver,status,value,solve_time,wall_time,error
easy_dsos,3,2,4,2,10,easy_dsos_dd_gram,sdsos,SCS,optimal,1.715099882126628,0.35223602,0.5199990359833464,
easy_dsos,3,2,4,2,10,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.7150884746440542,0.001065699,0.02876257710158825,
easy_dsos,3,2,4,2,10,easy_dsos_dd_gram,sos,SCS,optimal,1.715088791725841,0.000913675,0.04715031699743122,
easy_dsos,3,2,4,3,10,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.4726199282061994,0.00071119,0.11818717001006007,
easy_dsos,3,2,4,3,10,easy_dsos_dd_gram,dsos,SCS,optimal,1.4726194825106853,0.003736505,0.19401041499804705,
easy_dsos,3,2,4,3,10,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.5142215064641098,0.001975087,0.25546667899470776,
easy_dsos,3,2,4,3,10,easy_dsos_dd_gram,sdsos,SCS,optimal,1.51422336057288,0.158445839,0.4154646140523255,
easy_dsos,3,2,4,3,10,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.5142217788931325,0.000918409,0.02776030998211354,
easy_dsos,3,2,4,3,10,easy_dsos_dd_gram,sos,SCS,optimal,1.5142222572950816,0.0009187300000000001,0.027560977032408118,
easy_dsos,3,2,4,4,10,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.5780122535806116,0.000778894,0.12030912598129362,
easy_dsos,3,2,4,4,10,easy_dsos_dd_gram,dsos,SCS,optimal,1.5780133939629282,0.0035702219999999996,0.15060886007267982,
easy_dsos,3,2,4,4,10,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.5917841545180214,0.002045872,0.17476964101660997,
easy_dsos,3,2,4,4,10,easy_dsos_dd_gram,sdsos,SCS,optimal,1.5917945418391712,0.021962133000000002,0.27113053295761347,
easy_dsos,3,2,4,4,10,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.5917842112444778,0.001778615,0.049725980032235384,
easy_dsos,3,2,4,4,10,easy_dsos_dd_gram,sos,SCS,optimal,1.5917844961301062,0.001185901,0.04641054500825703,
easy_dsos,4,2,4,0,15,easy_dsos_dd_gram,dsos,CLARABEL,optimal,1.7968889234490468,0.001785548,0.33860546397045255,
easy_dsos,4,2,4,0,15,easy_dsos_dd_gram,dsos,SCS,optimal,1.7968877137746495,0.0071267610000000006,0.32089581701438874,
easy_dsos,4,2,4,0,15,easy_dsos_dd_gram,sdsos,CLARABEL,optimal,1.8209004452434103,0.005179975,0.44903462403453887,
easy_dsos,4,2,4,0,15,easy_dsos_dd_gram,sdsos,SCS,optimal_inaccurate,1.8209467225879405,1.015824286,1.4732842359226197,
easy_dsos,4,2,4,0,15,easy_dsos_dd_gram,sos,CLARABEL,optimal,1.8209024424817524,0.004566221,0.0644712969660759,
