n,d,degree,seed,basis_size_m,generator_type,solver,method,round,status,value,solve_time,wall_time,error,basis_condition
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.10451334143860028,0.000887887,0.10182148101739585,,1461.8523809973592
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.10451339144693242,0.000733439,0.12443591502960771,,197809.14656652478
2,2,4,6,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.004662027611842004,0.000655838,0.028341786935925484,,1.0
2,2,4,6,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.001899262,0.10784916090779006,,1.0
2,2,4,6,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.004661798847114119,0.000783891,0.10431060404516757,,370003.7518760926
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.010404534592431994,0.000515509,0.02772147802170366,,1.0
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-0.15456169113051127,0.000734214,0.10715790500398725,,1.0
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,0.010199664038890744,0.001176461,0.10382363805547357,,5.3843030824264835
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,0.010401535115161755,0.001170438,0.12236637296155095,,165.47001947175505
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,0.010404484323530805,0.000926712,0.10266694100573659,,924.520179049827
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,0.010404511757701407,0.000716199,0.10252368997316808,,4871.214137562456
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.010404531331520842,0.000714523,0.1034069349989295,,5718.036049259186
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.010404523848001845,0.000775957,0.10104530001990497,,141530.563272346
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.008717496225461044,0.000647451,0.02785161603242159,,1.0
