generator_type,n,d,basis_size_m,method,round,num_attempts,success_rate,num_finite,mean_value,std_value,mean_rel_gap_to_sos,std_rel_gap_to_sos,median_wall_time,mean_basis_condition
hard_sos_random_psd_gram,2,2,6,sdsos_plus,0,10,0.6,6,-13141.018439140445,29629.533947612257,13141.071506606904,29629.51205585406,0.10750353295588866,1.0
hard_sos_random_psd_gram,2,2,6,sdsos_plus,1,6,1.0,6,-59.604776162725294,107.87186363065376,59.65784362918401,107.84852347542672,0.10563092003576458,469.5617098619853
hard_sos_random_psd_gram,2,2,6,sdsos_plus,2,6,1.0,6,-1.0830933659363486,2.498322676693077,1.136160832395065,2.491517238960661,0.1032959625008516,68.46904069007174
hard_sos_random_psd_gram,2,2,6,sdsos_plus,3,6,1.0,6,-0.4444870263696712,1.2133943370999547,0.4975544928283875,1.2067596337851567,0.10361776046920568,188.39453053942648
hard_sos_random_psd_gram,2,2,6,sdsos_plus,4,6,1.0,6,-0.13392909574931863,0.4667988127814956,0.18699656220803496,0.45802822393313014,0.10259194899117574,4365.924709831018
hard_sos_random_psd_gram,2,2,6,sdsos_plus,5,6,1.0,6,-0.02215447763467228,0.1972439184054885,0.07522194409338864,0.18425493900170536,0.10261420800816268,7981.152332380698
hard_sos_random_psd_gram,2,2,6,sos,0,10,1.0,10,0.03963528204666529,0.04507201102483326,0.0,0.0,0.028000081947539,1.0
hard_sos_random_psd_gram,2,2,6,sos_basis_sdsos,0,10,1.0,10,0.0396350894811482,0.04507209083653763,1.9256551708948106e-07,2.3215817287113386e-07,0.10295916302129626,251971.66915684575
hard_sos_random_psd_gram,2,3,10,sdsos_plus,0,10,0.5,5,-133234.22821438016,139852.15501519718,133234.40606568725,139852.14434940816,0.31200786045519635,1.0
hard_sos_random_psd_gram,2,3,10,sdsos_plus,1,5,1.0,5,-139.3639278971895,191.65408980997245,139.54177920428197,191.63458989802635,0.30014916392974555,1183.6619838983727
hard_sos_random_psd_gram,2,3,10,sdsos_plus,2,5,1.0,5,-8.651508410305981,13.707343919573512,8.829359717398464,13.686220618686306,0.33773488795850426,67.31748737168125
hard_sos_random_psd_gram,2,3,10,sdsos_plus,3,5,1.0,5,-1.8999736401331337,2.7854826956101446,2.0778249472256194,2.748539110609299,0.2991306680487469,58.533435562724165
hard_sos_random_psd_gram,2,3,10,sdsos_plus,4,5,1.0,5,-0.41564892997346553,0.7332361810509527,0.5935002370659511,0.6724928915523248,0.3105648229829967,186.30747855351822
hard_sos_random_psd_gram,2,3,10,sdsos_plus,5,5,1.0,5,-0.017625265821022303,0.3097793635441846,0.19547657291350778,0.20533631846044217,0.31099309399724007,1300.023380693384
hard_sos_random_psd_gram,2,3,10,sos,0,10,1.0,10,0.29793243576063577,0.3693946385932409,0.0,0.0,0.06504685099935159,1.0
hard_sos_random_psd_gram,2,3,10,sos_basis_sdsos,0,10,0.9,9,0.32881226011830533,0.37786407751195444,1.5808237522770187e-07,3.469660469274275e-07,0.30984974949387833,303791.64419563767
hard_sos_random_psd_gram,3,2,10,sdsos_plus,0,10,0.0,0,,,,,0.30627590155927464,1.0
hard_sos_random_psd_gram,3,2,10,sos,0,10,1.0,10,0.190010229993908,0.13486096220122581,0.0,0.0,0.07059087051311508,1.0
hard_sos_random_psd_gram,3,2,10,sos_basis_sdsos,0,10,0.9,9,0.19142386442222745,0.1429630650708982,1.5479609508442516e-07,1.6127497288697338e-07,0.3204056840040721,330959.732050735
hard_sos_random_psd_gram,3,3,20,sdsos_plus,0,10,0.0,0,,,,,1.0665786929894239,1.0
hard_sos_random_psd_gram,3,3,20,sos,0,10,1.0,10,1.0055830138805366,0.8184114945784421,0.0,0.0,0.21958024852210656,1.0
hard_sos_random_psd_gram,3,3,20,sos_basis_sdsos,0,10,0.5,5,1.2987609211162097,1.0604879919085286,2.3832848550085058e-07,1.615744086527358e-07,1.9597191329230554,435131.77979284956
hard_sos_random_psd_gram,4,2,15,sdsos_plus,0,10,0.0,0,,,,,0.6503115139785223,1.0
hard_sos_random_psd_gram,4,2,15,sos,0,10,1.0,10,0.21277123932610004,0.08971363980222023,0.0,0.0,0.13981873349985108,1.0
hard_sos_random_psd_gram,4,2,15,sos_basis_sdsos,0,10,0.6,6,0.19237895844507627,0.10675366858763687,2.1042692486631745e-07,2.888112733420663e-07,0.7595353104989044,400614.8947758064
