generator_type,n,d,basis_size_m,method,round,num_attempts,success_rate,num_finite,mean_value,std_value,mean_rel_gap_to_sos,std_rel_gap_to_sos,median_wall_time,mean_basis_condition
hard_sos_random_psd_gram,2,2,6,sdsos_plus,0,10,0.6,6,-13141.018439140445,29629.533947612257,13141.071506606904,29629.51205585406,0.10712155845249072,1.0
hard_sos_random_psd_gram,2,2,6,sdsos_plus,1,6,1.0,6,-59.604776162725294,107.87186363065376,59.65784362918401,107.84852347542672,0.10784092353424057,469.5617098619853
hard_sos_random_psd_gram,2,2,6,sdsos_plus,2,6,1.0,6,-1.0830933659363486,2.498322676693077,1.136160832395065,2.491517238960661,0.10384634498041123,68.46904069007174
hard_sos_random_psd_gram,2,2,6,sdsos_plus,3,6,1.0,6,-0.4444870263696712,1.2133943370999547,0.4975544928283875,1.2067596337851567,0.10338059003697708,188.39453053942648
hard_sos_random_psd_gram,2,2,6,sdsos_plus,4,6,1.0,6,-0.13392909574931863,0.4667988127814956,0.18699656220803496,0.45802822393313014,0.10234645550372079,4365.924709831018
hard_sos_random_psd_gram,2,2,6,sdsos_plus,5,6,1.0,6,-0.02215447763467228,0.1972439184054885,0.07522194409338864,0.18425493900170536,0.10539817850803956,7981.152332380698
hard_sos_random_psd_gram,2,2,6,sdsos_plus,6,6,1.0,6,0.023142377351526813,0.09512516443523028,0.02992508910718955,0.07330080808682388,0.10251736850477755,12892.841651595625
hard_sos_random_psd_gram,2,2,6,sdsos_plus,7,6,1.0,6,0.04652130311329913,0.057205861177505674,0.006546163345417241,0.01603439979131284,0.10409317095763981,16101.62413853097
hard_sos_random_psd_gram,2,2,6,sdsos_plus,8,6,0.8333333333333334,5,0.05955529667051525,0.05567165839904569,0.002382163834852186,0.005326419772260602,0.10301078198244795,17814.92815129289
hard_sos_random_psd_gram,2,2,6,sdsos_plus,9,5,1.0,5,0.06166891081397178,0.054426681059059435,0.0002685496913956569,0.0006002483588786375,0.10277177102398127,12403.127771940457
hard_sos_random_psd_gram,2,2,6,sdsos_plus,10,5,1.0,5,0.061934520115143485,0.054297316046085696,2.9403902239495685e-06,6.3390937207584605e-06,0.10286776698194444,13740.632100802084
hard_sos_random_psd_gram,2,2,6,sos,0,10,1.0,10,0.03963528204666529,0.04507201102483326,0.0,0.0,0.027881572546903044,1.0
hard_sos_random_psd_gram,2,2,6,sos_basis_sdsos,0,10,1.0,10,0.0396350894811482,0.04507209083653763,1.9256551708948106e-07,2.3215817287113386e-07,0.10315787902800366,251971.66915684575
hard_sos_random_psd_gram,2,3,10,sdsos_plus,0,10,0.5,5,-133234.22821438016,139852.15501519718,133234.40606568725,139852.14434940816,0.2992272399715148,1.0
hard_sos_random_psd_gram,2,3,10,sdsos_plus,1,5,1.0,5,-139.3639278971895,191.65408980997245,139.54177920428197,191.63458989802635,0.2864892240613699,1183.6619838983727
hard_sos_random_psd_gram,2,3,10,sdsos_plus,2,5,1.0,5,-8.651508410305981,13.707343919573512,8.829359717398464,13.686220618686306,0.31194357108324766,67.31748737168125
hard_sos_random_psd_gram,2,3,10,sdsos_plus,3,5,1.0,5,-1.8999736401331337,2.7854826956101446,2.0778249472256194,2.748539110609299,0.2828955599106848,58.533435562724165
hard_sos_random_psd_gram,2,3,10,sdsos_plus,4,5,1.0,5,-0.41564892997346553,0.7332361810509527,0.5935002370659511,0.6724928915523248,0.3036607949761674,186.30747855351822
hard_sos_random_psd_gram,2,3,10,sdsos_plus,5,5,1.0,5,-0.017625265821022303,0.3097793635441846,0.19547657291350778,0.20533631846044217,0.2845101689454168,1300.023380693384
hard_sos_random_psd_gram,2,3,10,sdsos_plus,6,5,1.0,5,0.08941755671099319,0.22721391447122702,0.0884337503814923,0.10746154114817451,0.28664281696546823,2959.2480643042645
hard_sos_random_psd_gram,2,3,10,sdsos_plus,7,5,1.0,5,0.13600400492291004,0.18812580362420595,0.04184730216957544,0.055488208552434276,0.3065308249788359,3210.103261684987
hard_sos_random_psd_gram,2,3,10,sdsos_plus,8,5,1.0,5,0.1573262671283434,0.17029712519128995,0.020525039964142063,0.031180441986776563,0.2835324739571661,6047.534652592952
hard_sos_random_psd_gram,2,3,10,sdsos_plus,9,5,1.0,5,0.16673979145920906,0.1619789207158974,0.011111515633276437,0.019661694241724283,0.30626753403339535,8991.5837562442
hard_sos_random_psd_gram,2,3,10,sdsos_plus,10,5,1.0,5,0.17189288485442508,0.15656896296259404,0.005958422238060377,0.012004202289002343,0.28085611504502594,13485.241325455709
hard_sos_random_psd_gram,2,3,10,sos,0,10,1.0,10,0.29793243576063577,0.3693946385932409,0.0,0.0,0.060647063539363444,1.0
hard_sos_random_psd_gram,2,3,10,sos_basis_sdsos,0,10,0.9,9,0.32881226011830533,0.37786407751195444,1.5808237522770187e-07,3.469660469274275e-07,0.30085409100865945,303791.64419563767
hard_sos_random_psd_gram,3,2,10,sdsos_plus,0,10,0.0,0,,,,,0.2863159285043366,1.0
hard_sos_random_psd_gram,3,2,10,sos,0,10,1.0,10,0.190010229993908,0.13486096220122581,0.0,0.0,0.06412136653671041,1.0
hard_sos_random_psd_gram,3,2,10,sos_basis_sdsos,0,10,0.9,9,0.19142386442222745,0.1429630650708982,1.5479609508442516e-07,1.6127497288697338e-07,0.28960961051052436,330959.732050735
hard_sos_random_psd_gram,3,3,20,sdsos_plus,0,10,0.0,0,,,,,0.8349966105306521,1.0
hard_sos_random_psd_gram,3,3,20,sos,0,10,1.0,10,1.0055830138805366,0.8184114945784421,0.0,0.0,0.16722918098093942,1.0
hard_sos_random_psd_gram,3,3,20,sos_basis_sdsos,0,10,0.5,5,1.2987609211162097,1.0604879919085286,2.3832848550085058e-07,1.615744086527358e-07,1.4990803034743294,435131.77979284956
hard_sos_random_psd_gram,4,2,15,sdsos_plus,0,10,0.0,0,,,,,0.466770953964442,1.0
hard_sos_random_psd_gram,4,2,15,sos,0,10,1.0,10,0.21277123932610004,0.08971363980222023,0.0,0.0,0.09920689300633967,1.0
hard_sos_random_psd_gram,4,2,15,sos_basis_sdsos,0,10,0.6,6,0.19237895844507627,0.10675366858763687,2.1042692486631745e-07,2.888112733420663e-07,0.5531980914529413,400614.8947758064
