n,d,degree,seed,basis_size_m,generator_type,solver,method,round,status,value,solve_time,wall_time,error,basis_condition,is_success,finite_value,sos_value,gap_to_sos,rel_gap_to_sos
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.13356823602446713,0.000814593,0.031551997060887516,,1.0,True,0.13356823602446713,0.13356823602446713,0.0,0.0
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-694.2488907512202,0.001652362,0.10454620898235589,,1.0,True,-694.2488907512202,0.13356823602446713,694.3824589872446,694.3824589872446
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-4.053912358757626,0.001517597,0.12456125405151397,,149.17375751690298,True,-4.053912358757626,0.13356823602446713,4.187480594782093,4.187480594782093
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,0.0006963564418475792,0.001111517,0.10089192306622863,,18.736817374815413,True,0.0006963564418475792,0.13356823602446713,0.13287187958261956,0.13287187958261956
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,0.11109492754372044,0.001134621,0.10251069697551429,,58.073310767802255,True,0.11109492754372044,0.13356823602446713,0.02247330848074669,0.02247330848074669
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,0.1335350013841619,0.001311968,0.09938730706926435,,189.41435647966117,True,0.1335350013841619,0.13356823602446713,3.323464030521861e-05,3.323464030521861e-05
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.13356808028474942,0.001028402,0.10512709303293377,,292.908596991454,True,0.13356808028474942,0.13356823602446713,1.557397177054387e-07,1.557397177054387e-07
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,6,optimal,0.1335681052422498,0.00095564,0.12709012208506465,,4501.975768734468,True,0.1335681052422498,0.13356823602446713,1.30782217333536e-07,1.30782217333536e-07
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,7,optimal,0.13356812948881322,0.000812612,0.10514337697532028,,5158.004277574303,True,0.13356812948881322,0.13356823602446713,1.0653565390983388e-07,1.0653565390983388e-07
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,8,optimal,0.13356814286180574,0.000752902,0.10262272006366402,,6160.346901705711,True,0.13356814286180574,0.13356823602446713,9.3162661390922e-08,9.3162661390922e-08
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,9,optimal,0.13356815148449339,0.000780447,0.1018807899672538,,7047.866638931096,True,0.13356815148449339,0.13356823602446713,8.453997374369138e-08,8.453997374369138e-08
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,10,optimal,0.13356815750625756,0.000755151,0.1027721450664103,,7882.959731165777,True,0.13356815750625756,0.13356823602446713,7.8518209573053e-08,7.8518209573053e-08
