n,d,degree,seed,basis_size_m,generator_type,solver,method,round,status,value,solve_time,wall_time,error,basis_condition,is_success,finite_value,sos_value,gap_to_sos,rel_gap_to_sos
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.13356823602446713,0.0005598,0.02202593709807843,,1.0,True,0.13356823602446713,0.13356823602446713,0.0,0.0
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-694.2488907512202,0.001020892,0.06318713794462383,,1.0,True,-694.2488907512202,0.13356823602446713,694.3824589872446,694.3824589872446
2,2,4,0,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.13356818190933675,0.000466301,0.08299569098744541,,99306.91720194806,True,0.13356818190933675,0.13356823602446713,5.411513037678617e-08,5.411513037678617e-08
2,2,4,1,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.017193560585397647,0.000533081,0.017595179961062968,,1.0,True,0.017193560585397647,0.017193560585397647,0.0,0.0
2,2,4,1,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.000931003,0.06216629408299923,,1.0,False,,0.017193560585397647,,
2,2,4,1,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.017192779716520702,0.000470998,0.06459368602372706,,190809.29066327555,True,0.017192779716520702,0.017193560585397647,7.808688769449235e-07,7.808688769449235e-07
2,2,4,2,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.005101027504257142,0.000396955,0.01776578009594232,,1.0,True,0.005101027504257142,0.005101027504257142,0.0,0.0
2,2,4,2,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.000893966,0.06282930099405348,,1.0,False,,0.005101027504257142,,
2,2,4,2,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.005100993248333416,0.000486524,0.06341441092081368,,333107.4696038697,True,0.005100993248333416,0.005101027504257142,3.425592372610642e-08,3.425592372610642e-08
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.04129795093797926,0.000397653,0.04169854894280434,,1.0,True,0.04129795093797926,0.04129795093797926,0.0,0.0
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-2185.907019231919,0.001085517,0.06355650804471225,,1.0,True,-2185.907019231919,0.04129795093797926,2185.948317182857,2185.948317182857
2,2,4,3,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.04129777521745947,0.000451669,0.06473199801985174,,342670.80730234756,True,0.04129777521745947,0.04129795093797926,1.757205197877587e-07,1.757205197877587e-07
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.019903160084920744,0.000457083,0.01749118708539754,,1.0,True,0.019903160084920744,0.019903160084920744,0.0,0.0
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal_inaccurate,-1544.4073839530045,0.001113303,0.0752824479714036,,1.0,True,-1544.4073839530045,0.019903160084920744,1544.4272871130893,1544.4272871130893
2,2,4,4,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.01990284233434635,0.000483671,0.0677824520971626,,254878.79426038027,True,0.01990284233434635,0.019903160084920744,3.1775057439398235e-07,3.1775057439398235e-07
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.10451342088703804,0.000518776,0.01776887197047472,,1.0,True,0.10451342088703804,0.10451342088703804,0.0,0.0
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-818.7509438030094,0.00090501,0.08935732604004443,,1.0,True,-818.7509438030094,0.10451342088703804,818.8554572238965,818.8554572238965
2,2,4,5,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.10451339144693242,0.000474256,0.06655784591566771,,197809.14656652478,True,0.10451339144693242,0.10451342088703804,2.9440105617228873e-08,2.9440105617228873e-08
2,2,4,6,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.004662027611842004,0.000436002,0.017373963026329875,,1.0,True,0.004662027611842004,0.004662027611842004,0.0,0.0
2,2,4,6,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.001195111,0.06338290998246521,,1.0,False,,0.004662027611842004,,
2,2,4,6,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.004661798847114119,0.000542695,0.06417964107822627,,370003.7518760926,True,0.004661798847114119,0.004662027611842004,2.287647278848698e-07,2.287647278848698e-07
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.010404534592431994,0.000351301,0.018033519037999213,,1.0,True,0.010404534592431994,0.010404534592431994,0.0,0.0
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-0.15456169113051127,0.000474764,0.06293870799709111,,1.0,True,-0.15456169113051127,0.010404534592431994,0.16496622572294325,0.16496622572294325
2,2,4,7,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.010404523848001845,0.000553161,0.08506329800002277,,141530.563272346,True,0.010404523848001845,0.010404534592431994,1.0744430149409179e-08,1.0744430149409179e-08
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.008717496225461044,0.000562086,0.02986563101876527,,1.0,True,0.008717496225461044,0.008717496225461044,0.0,0.0
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal_inaccurate,-73602.64183541239,0.00135959,0.0812334360089153,,1.0,True,-73602.64183541239,0.008717496225461044,73602.65055290861,73602.65055290861
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.00871726658924911,0.000568281,0.07992020505480468,,350872.1108845769,True,0.00871726658924911,0.008717496225461044,2.2963621193299033e-07,2.2963621193299033e-07
2,2,4,9,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.050991406012857905,0.000406118,0.022042136057280004,,1.0,True,0.050991406012857905,0.050991406012857905,0.0,0.0
2,2,4,9,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.000965008,0.06833118491340429,,1.0,False,,0.050991406012857905,,
2,2,4,9,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.050991341654187824,0.000642041,0.06920601101592183,,238727.8399370962,True,0.050991341654187824,0.050991406012857905,6.435867008075524e-08,6.435867008075524e-08
